epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_f1,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,49,,,,,,,,,,
0,,49,,,,,,,4.655405044555664,,,
,0.001,99,,,,,,,,,,
0,,99,,,,,,,4.543105125427246,,,
,0.001,149,,,,,,,,,,
0,,149,,,,,,,4.528910160064697,,,
,0.001,199,,,,,,,,,,
0,,199,,,,,,,4.370687484741211,,,
,0.001,249,,,,,,,,,,
0,,249,,,,,,,4.316732406616211,,,
,0.001,299,,,,,,,,,,
0,,299,,,,,,,4.090526580810547,,,
,0.001,349,,,,,,,,,,
0,,349,,,,,,,4.275774955749512,,,
,0.001,399,,,,,,,,,,
0,,399,,,,,,,4.348104953765869,,,
,0.001,449,,,,,,,,,,
0,,449,,,,,,,4.349710464477539,,,
,0.001,499,,,,,,,,,,
0,,499,,,,,,,4.2978739738464355,,,
,0.001,549,,,,,,,,,,
0,,549,,,,,,,4.507101535797119,,,
,0.001,599,,,,,,,,,,
0,,599,,,,,,,4.297754287719727,,,
,0.001,649,,,,,,,,,,
0,,649,,,,,,,4.127742290496826,,,
,0.001,699,,,,,,,,,,
0,,699,,,,,,,4.100529670715332,,,
,0.001,749,,,,,,,,,,
0,,749,,,,,,,4.2219061851501465,,,
,0.001,799,,,,,,,,,,
0,,799,,,,,,,4.20225191116333,,,
,0.001,849,,,,,,,,,,
0,,849,,,,,,,3.9973456859588623,,,
,0.001,899,,,,,,,,,,
0,,899,,,,,,,4.109948635101318,,,
,0.001,949,,,,,,,,,,
0,,949,,,,,,,3.96671462059021,,,
,0.001,999,,,,,,,,,,
0,,999,,,,,,,3.9290523529052734,,,
,0.001,1049,,,,,,,,,,
0,,1049,,,,,,,4.056698799133301,,,
,0.001,1099,,,,,,,,,,
0,,1099,,,,,,,4.0394744873046875,,,
,0.001,1149,,,,,,,,,,
0,,1149,,,,,,,4.112645626068115,,,
,0.001,1199,,,,,,,,,,
0,,1199,,,,,,,3.85795521736145,,,
,0.001,1249,,,,,,,,,,
0,,1249,,,,,,,4.2862396240234375,,,
,0.001,1299,,,,,,,,,,
0,,1299,,,,,,,4.188652992248535,,,
,0.001,1349,,,,,,,,,,
0,,1349,,,,,,,4.255243301391602,,,
,0.001,1399,,,,,,,,,,
0,,1399,,,,,,,4.029556751251221,,,
,0.001,1449,,,,,,,,,,
0,,1449,,,,,,,3.6435675621032715,,,
,0.001,1499,,,,,,,,,,
0,,1499,,,,,,,3.96258282661438,,,
,0.001,1549,,,,,,,,,,
0,,1549,,,,,,,4.09956693649292,,,
0,,1562,,,,,,,,0.08349999785423279,0.08349999785423279,3.9425852298736572
0,,1562,,,,0.048659998923540115,0.048659998923540115,4.212846279144287,,,,
1,,1563,0.08349999785423279,0.08349999785423279,3.9425852298736572,,,,,,,
