epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_f1,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,49,,,,,,,,,,
0,,49,,,,,,,2.333003044128418,,,
,0.001,99,,,,,,,,,,
0,,99,,,,,,,2.2903926372528076,,,
,0.001,149,,,,,,,,,,
0,,149,,,,,,,2.3277995586395264,,,
,0.001,199,,,,,,,,,,
0,,199,,,,,,,2.302910566329956,,,
,0.001,249,,,,,,,,,,
0,,249,,,,,,,2.2383053302764893,,,
,0.001,299,,,,,,,,,,
0,,299,,,,,,,2.2797861099243164,,,
,0.001,349,,,,,,,,,,
0,,349,,,,,,,2.28757381439209,,,
,0.001,399,,,,,,,,,,
0,,399,,,,,,,2.3105242252349854,,,
,0.001,449,,,,,,,,,,
0,,449,,,,,,,2.3165388107299805,,,
,0.001,499,,,,,,,,,,
0,,499,,,,,,,2.18862247467041,,,
,0.001,549,,,,,,,,,,
0,,549,,,,,,,1.8547738790512085,,,
,0.001,599,,,,,,,,,,
0,,599,,,,,,,1.9308642148971558,,,
,0.001,649,,,,,,,,,,
0,,649,,,,,,,1.9126611948013306,,,
,0.001,699,,,,,,,,,,
0,,699,,,,,,,1.6129872798919678,,,
,0.001,749,,,,,,,,,,
0,,749,,,,,,,1.4039806127548218,,,
,0.001,799,,,,,,,,,,
0,,799,,,,,,,1.3352974653244019,,,
,0.001,849,,,,,,,,,,
0,,849,,,,,,,1.0599417686462402,,,
,0.001,899,,,,,,,,,,
0,,899,,,,,,,0.9443309903144836,,,
,0.001,949,,,,,,,,,,
0,,949,,,,,,,0.9472671151161194,,,
,0.001,999,,,,,,,,,,
0,,999,,,,,,,0.910611093044281,,,
,0.001,1049,,,,,,,,,,
0,,1049,,,,,,,1.0002162456512451,,,
,0.001,1099,,,,,,,,,,
0,,1099,,,,,,,0.6881137490272522,,,
,0.001,1149,,,,,,,,,,
0,,1149,,,,,,,0.9282868504524231,,,
,0.001,1199,,,,,,,,,,
0,,1199,,,,,,,0.5763237476348877,,,
,0.001,1249,,,,,,,,,,
0,,1249,,,,,,,0.5926780104637146,,,
,0.001,1299,,,,,,,,,,
0,,1299,,,,,,,0.7622331976890564,,,
,0.001,1349,,,,,,,,,,
0,,1349,,,,,,,0.5775275826454163,,,
,0.001,1399,,,,,,,,,,
0,,1399,,,,,,,0.5640068054199219,,,
,0.001,1449,,,,,,,,,,
0,,1449,,,,,,,0.4088890552520752,,,
,0.001,1499,,,,,,,,,,
0,,1499,,,,,,,0.7569947242736816,,,
,0.001,1549,,,,,,,,,,
0,,1549,,,,,,,0.7930147647857666,,,
,0.001,1599,,,,,,,,,,
0,,1599,,,,,,,0.6059827208518982,,,
,0.001,1649,,,,,,,,,,
0,,1649,,,,,,,0.3834875822067261,,,
,0.001,1699,,,,,,,,,,
0,,1699,,,,,,,0.265127956867218,,,
,0.001,1749,,,,,,,,,,
0,,1749,,,,,,,0.407979816198349,,,
,0.001,1799,,,,,,,,,,
0,,1799,,,,,,,0.26874032616615295,,,
,0.001,1849,,,,,,,,,,
0,,1849,,,,,,,0.512505292892456,,,
0,,1874,,,,,,,,0.8970000147819519,0.8970000147819519,0.3509807884693146
0,,1874,,,,0.5351499915122986,0.5351499915122986,1.2676767110824585,,,,
1,,1875,0.8970000147819519,0.8970000147819519,0.3509807884693146,,,,,,,
